ANSTO ID,ID,Phase,Context,Species,δ13C,Adjusted δ13C,values,mean_depth,max_depth,min_depth,phase_chr,square,spit,Elevation,depth_below_ground_surface,depth_by_context
SI5327 ,MJB1 ,7,C3/4,Pandanus sp.,-27.9,-29.491,-29.491,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI5328 ,MJB2 ,7,C3/4,Pandanus sp.,-26.6,-28.191000000000003,-28.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI5329 ,MJB3 ,7,C3/4,Pandanus sp.,-26.5,-28.091000000000001,-28.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI5330 ,MJB4 ,7,C3/4,Pandanus sp.,-25.8,-27.391000000000002,-27.391000000000005,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI5331 ,MJB5 ,7,C3/4,Pandanus sp.,-24.5,-26.091000000000001,-26.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI5332 ,MJB6 ,7,C3/4,Pandanus sp.,-25.2,-26.791,-26.791,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4,100.62917780000001,0.06403519999999929,0
SI5333 ,MJB7 ,7,C3/4B,Pandanus sp.,-25.4,-26.991,-26.991,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5334 ,MJB8 ,7,C3/4B,Pandanus sp.,-28.5,-30.091000000000001,-30.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5335 ,MJB9 ,7,C3/4B,Pandanus sp.,-26.6,-28.191000000000003,-28.191000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5336 ,MJB10 ,7,C3/4B,Pandanus sp.,-26.5,-28.091000000000001,-28.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5337 ,MJB11 ,7,C3/4B,Pandanus sp.,-25.1,-26.691000000000003,-26.691000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5338 ,MJB12 ,7,C3/4B,Pandanus sp.,-26.8,-28.391000000000002,-28.391000000000005,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5339 ,MJB13 ,7,C3/4B,Pandanus sp.,-25.1,-26.691000000000003,-26.691000000000006,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5340 ,MJB14 ,7,C3/4B,Pandanus sp.,-27.2,-28.791,-28.791,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5341 ,MJB15 ,7,C3/4B,Pandanus sp.,-27.5,-29.091000000000001,-29.091,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,4B,100.6047695,0.08844350000000152,0
SI5342 ,MJB16 ,7,C3/7,Pandanus sp.,-24.1,-26.432000000000002,-26.432000000000002,0.21732323437500034,0.4346464687500007,0,Phase 7,C3,7,100.4419231388889,0.2512898611111096,0
SI5343 ,MJB17 ,5,C3/20,Pandanus sp.,-23,-25.405000000000001,-25.404999999999998,1.0588957142857152,1.25,0.8677914285714304,Phase 5,C3,20,99.7634902,0.929722799999999,0.9643762999999997
SI5344 ,MJB18 ,5,C3/20,Pandanus sp.,-22.9,-25.305,-25.305,1.0588957142857152,1.25,0.8677914285714304,Phase 5,C3,20,99.7634902,0.929722799999999,0.9643762999999997
SI5345 ,MJB19 ,5,C3/22,Pandanus sp.,-25,-27.405000000000001,-27.404999999999998,1.0588957142857152,1.25,0.8677914285714304,Phase 5,C3,22,99.6595297,1.0336833000000012,0.9643762999999997
SI5346 ,MJB20 ,4,C2/27B,Pandanus sp.,-24.7,-27.500999999999998,-27.500999999999994,1.375,1.5,1.25,Phase 4,C2,27B,99.38030635,1.3129066499999986,1.4424186943746722
SI5347 ,MJB21 ,4,C2/27B,Pandanus sp.,-25.7,-28.500999999999998,-28.500999999999994,1.375,1.5,1.25,Phase 4,C2,27B,99.38030635,1.3129066499999986,1.4424186943746722
SI5349 ,MJB23 ,4,C2/27B,Pandanus sp.,-25.2,-28.000999999999998,-28.000999999999994,1.375,1.5,1.25,Phase 4,C2,27B,99.38030635,1.3129066499999986,1.4424186943746722
SI5359 ,MJB33 ,4,C2/28A,Pandanus sp.,-25.5,-28.301000000000002,-28.301000000000005,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI5360 ,MJB34 ,4,C2/28A,Pandanus sp.,-25.7,-28.500999999999998,-28.500999999999994,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI5361 ,MJB35 ,4,C2/28A,Pandanus sp.,-25.6,-28.401000000000003,-28.401000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI5371 ,MJB45 ,4,C2/29A,Pandanus sp.,-25.4,-28.201000000000001,-28.201,1.375,1.5,1.25,Phase 4,C2,29A,99.15601371428572,1.537199285714286,1.4424186943746722
SI5373 ,MJB47 ,3b,C2/32A,Pandanus sp.,-23,-25.815999999999999,-25.816,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5374 ,MJB48 ,3b,C2/32A,Pandanus sp.,-24.1,-26.916,-26.916,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5377 ,MJB51 ,3b,C2/32A,Pandanus sp.,-24.3,-27.116,-27.116000000000003,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5378 ,MJB52 ,3b,C2/32A,Pandanus sp.,-25.7,-28.515999999999998,-28.515999999999995,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5380 ,MJB54 ,3b,C2/32A,Pandanus sp.,-25.1,-27.916,-27.916,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5393 ,MJB67 ,3a,C2/34A,Pandanus sp.,-24,-26.812000000000001,-26.812,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5394 ,MJB68 ,3a,C2/34A,Pandanus sp.,-24.8,-27.612000000000002,-27.612000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5396 ,MJB70 ,3a,C2/34A,Pandanus sp.,-26.2,-29.012,-29.012,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5397 ,MJB71 ,3a,C2/34A,Pandanus sp.,-25.7,-28.512,-28.512,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5399 ,MJB73 ,3a,C2/34A,Pandanus sp.,-24.7,-27.512,-27.512,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5401 ,MJB75 ,3a,C2/35,Pandanus sp.,-23.1,-25.912000000000003,-25.912000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35,98.8552092,1.8380037999999985,1.8279815332075582
SI5402 ,MJB76 ,3a,C2/35,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35,98.8552092,1.8380037999999985,1.8279815332075582
SI5406 ,MJB80 ,3a,C2/36A,Pandanus sp.,-23.9,-26.712,-26.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,36A,98.74834457142858,1.944868428571429,1.8279815332075582
SI5407 ,MJB81 ,3a,C2/36A,Pandanus sp.,-24.6,-27.412000000000003,-27.412000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,36A,98.74834457142858,1.944868428571429,1.8279815332075582
SI5728 ,MJB85 ,2,C2/39A,Pandanus sp.,-26.9,-29.32,-29.32,2.1220376666666683,2.294373333333335,1.949702000000002,Phase 2,C2,39A,98.61924696428571,2.073966035714286,2.011834017857144
SI5734 ,MJB91 ,2,C2/38,Pandanus sp.,-25.9,-28.32,-28.32,2.1220376666666683,2.294373333333335,1.949702000000002,Phase 2,NA,NA,NA,NA,2.011834017857144
SI5738 ,MJB95 ,2,C2/37,Pandanus sp.,-24.2,-26.619999999999997,-26.619999999999997,2.1220376666666683,2.294373333333335,1.949702000000002,Phase 2,C2,37,98.743511,1.949702000000002,2.011834017857144
SI5739 ,MJB96 ,3a,C2/36A,Pandanus sp.,-24,-26.812000000000001,-26.812,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,36A,98.74834457142858,1.944868428571429,1.8279815332075582
SI5740 ,MJB97 ,3a,C2/36A,Pandanus sp.,-24.8,-27.612000000000002,-27.612000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,36A,98.74834457142858,1.944868428571429,1.8279815332075582
SI5741 ,MJB98 ,3a,C2/36,Pandanus sp.,-25.9,-28.712,-28.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,36,98.72024866666666,1.9729643333333333,1.8279815332075582
SI5745 ,MJB102 ,3a,C2/35B,Pandanus sp.,-25.9,-28.712,-28.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35B,98.826866,1.866347,1.8279815332075582
SI5761 ,MJB118 ,3a,C2/35A,Pandanus sp.,-24,-26.812000000000001,-26.812,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35A,98.81320266666667,1.8800103333333311,1.8279815332075582
SI5762 ,MJB119 ,3a,C2/35A,Pandanus sp.,-24.3,-27.112000000000002,-27.112000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35A,98.81320266666667,1.8800103333333311,1.8279815332075582
SI5763 ,MJB120 ,3a,C2/35A,Pandanus sp.,-24.3,-27.112000000000002,-27.112000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35A,98.81320266666667,1.8800103333333311,1.8279815332075582
SI5765 ,MJB122 ,3a,C2/35A,Pandanus sp.,-25.2,-28.012,-28.012,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35A,98.81320266666667,1.8800103333333311,1.8279815332075582
SI5768 ,MJB125 ,3a,C2/35,Pandanus sp.,-24.3,-27.112000000000002,-27.112000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,35,98.8552092,1.8380037999999985,1.8279815332075582
SI5799 ,MJB156 ,3a,C2/34A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5800 ,MJB157 ,3a,C2/34A,Pandanus sp.,-24.7,-27.512,-27.512,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5801 ,MJB158 ,3a,C2/34A,Pandanus sp.,-24.1,-26.912000000000003,-26.912000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5802 ,MJB159 ,3a,C2/34A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5803 ,MJB160 ,3a,C2/34A,Pandanus sp.,-25.4,-28.212,-28.212,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5805 ,MJB162 ,3a,C2/34A,Pandanus sp.,-24.5,-27.312000000000001,-27.312,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5809 ,MJB166 ,3a,C2/34A,Pandanus sp.,-26.1,-28.912000000000003,-28.912000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5812 ,MJB169 ,3a,C2/34A,Pandanus sp.,-25.5,-28.312000000000001,-28.312,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5814 ,MJB171 ,3a,C2/34A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,34A,98.8802088,1.8130042000000004,1.8279815332075582
SI5877,MJB200,3a,C2/33A,Pandanus sp.,-24.8,-27.612000000000002,-27.612000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5879,MJB202,3a,C2/33A,Pandanus sp.,-24.6,-27.412000000000003,-27.412000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5880,MJB203,3a,C2/33A,Pandanus sp.,-24.8,-27.612000000000002,-27.612000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5881,MJB204,3a,C2/33A,Pandanus sp.,-24.5,-27.312000000000001,-27.312,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5882,MJB205,3a,C2/33A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
